DB03843	[H]C([H])=O
DB04722	C[C@@H](NC(=O)CC1=C(Cl)C=C\C(=N/CC(F)(F)C2=CC=CC=[N+]2[O-])N1O)C1=CC(Cl)=CC=C1
DB04723	NC(N)=NC1=CC=CC(=C1)[C@@H](CS)C(O)=O
DB04724	CNC(=O)[C@H](CC1=CC2=CC=CC=C2C=C1)N1CCC(=O)N(CC2=CC3=CC=CC=C3N=C2)[C@@H](CC(C)C)C1=O
DB04727	COC1=CC=C(C=C1)C1=C(C2=C(N)N=CN=C2O1)C1=CC=C(NC(=O)NC2=C(F)C=CC(=C2)C(F)(F)F)C=C1
DB04729	CN[C@@H]1[C@@H](O)[C@@H](O[C@H]2[C@H](N)C[C@H](N)[C@@H](O[C@H]3O[C@H](CN)CC[C@H]3N)[C@@H]2O)OC[C@]1(C)O
DB04731	CC(=O)OC[C@H](O)CO[P@](O)(=O)OCC[NH3+]
DB04732	[H][C@@](CC(C)C)(NC(=O)[C@@]([H])(CC1=C2C=CC=CC2=CC=C1)NC(=O)N1CCOCC1)B(O)O
DB04733	O[C@H](COP(O)(O)=O)[C@@H](O)[C@H](O)[C@H](O)COP(O)(O)=O
DB04734	C\C(=C\C(O)=O)C(O)=O
DB04735	CCCCCCCCCCCCCCCC(=O)O[C@@H](CO[C@@H]1O[C@@H](CO)[C@H](O)[C@H](O)[C@@H]1O)COC(=O)CCCCCCCCCCCC
DB04736	C[C@@H](NC(=O)[C@H](CCC[C@@H](N)C(O)=O)NC(=O)CC[C@@H](NC(=O)[C@H](C)NC(=O)[C@@H](C)O[C@@H]1[C@@H](NC(C)=O)[C@@H]2OC[C@@H](O2)[C@H]1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1NC(C)=O)C(O)=O)C(O)=O
DB04738	[H]N1[C@H](CCC(=O)N(C)\C(=C/C)C(=O)N([H])[C@H]([C@H](C)C(=O)N([H])[C@@H](C(C)C)C(=O)N([H])[C@@H](\C=C\C(\C)=C\[C@H](C)[C@H](CC2=CC=CC=C2)OC)[C@H](C)C1=O)C(O)=O)C(O)=O
DB04739	CN1CCN(CC2=CC=C(C=C2)C(=O)NC2=CC=CC(NC3=NC=CC(=N3)C3=CN=CC=C3)=C2)CC1
DB04740	[H]N(C(=O)[C@@H](C(O)=O)C1=CC=C(O)C=C1)C(OC)(C(O)=O)[C@@]1([H])OCC(=C)C(=N1)C(O)=O
DB04741	CO[C@@H](\C=C\C1=CSC(=N1)C1=CSC(=N1)[C@@H](C)\C=C\C=C\C(C)C)[C@@H](C)C(\OC)=C/C(N)=O
DB04742	[H][C@@](NC(=O)CC1=CC=CS1)(C=O)[C@@]1([H])SCCC(=N1)C(O)=O
DB04745	O=C1NC2=C(C=CC=C2)C=C1
DB04746	CCCCC\C=C/C=C/CCCCCCCCC(O)=O
DB04747	CC\C=C/C=C/C=C/CCCCCCCCCC(O)=O
DB04749	[S-]CCC(=O)SCCC=O
DB04751	[H][C@@](CO)(NC1=NC(NC2=CC=CC(Cl)=C2)=C2N=CN(C(C)C)C2=N1)C(C)C
DB04752	[H]\C(CCCCCC)=C(/[H])CCCCCCCC(=O)O[C@@]([H])(COC(=O)CCCCCCC\C([H])=C(\[H])CCCCCCCC)COP(O)(=O)OCCO
DB04753	OC[C@H]1O[C@H]([C@@H]2O[C@H](CP(O)(O)=O)O[C@H]12)C1=CNC2=C1NC=NC2=O
DB04754	NC1=NC(=O)C2=C(N1)N(C=N2)[C@@H]1O[C@H](CO)[C@H]2O[C@@H](CP(O)(O)=O)O[C@@H]12
DB04757	NC1=NC(=O)C2=C(N1)N(C=N2)[C@@H]1O[C@H](CO)[C@H]2O[C@@H](O[C@@H]12)P(O)(O)=O
DB04758	CCS(=O)(=O)N[C@H](CC1=CNC2=CC=CC=C12)C(=O)N[C@@H](CCC(N)=O)C(=O)NCC1=CC=C(C=C1)C(N)=N
DB04759	CC1=CC(CNC(=O)C2=CC(=NC=N2)C(=O)NCC2=CC=CC(C)=C2)=CC=C1
DB04760	CC1=C(F)C=CC(CNC(=O)C2=CC(=NC=N2)C(=O)NCC2=CC(C)=C(F)C=C2)=C1
DB04761	O=C(NCC1=CC=CN=C1)C1=CC(=NC=N1)C(=O)NCC1=CN=CC=C1
DB04762	CC1=NC=C(COP(O)(O)=O)C(CN[C@H](CCC(O)=O)C(O)=O)=C1O
DB04763	CC1=CC(C)=[N+](CCC2=CC=C(C=C2)S(N)(=O)=O)C(C)=C1
DB04764	NCC1=CC=CC(=C1)C1CCN(CC1)C(=O)C1=CC(CCC2=CC=CC=C2)=CN=C1
DB04765	CC1=NC=C(COP(O)(O)=O)C(CN[C@@](C)(CCC(O)=O)C(O)=O)=C1O
DB04767	CCCS(=O)(=O)N[C@H]([C@H](C)O)C(=O)N[C@@H](CCSC)C(=O)NCC1=CC=C(C=C1)C(N)=N
DB04768	CC1=NC=C(C[N+]2=CC=CC(CCO[P@](O)(=O)OP(O)(O)=O)=C2C)C(N)=N1
DB04769	O=C1NC(=O)\C(S1)=C\C1=CC2=C(C=C1)N=CC=N2
DB04770	[H][C@@](CC)(CO)NC1=NC2=C(N=CN2C(C)C)C(OCC2=CC=CC=C2)=N1
DB04771	CC(C)C[C@H](NC(=O)C1=CC=C(C=C1)[N+]([O-])=O)C(=O)N1CCC[C@H]1C(=O)NCCCCN=C(N)N
DB04772	CC(C)C[C@H](NS(=O)(=O)CC1=CC=CC=C1)C(=O)N1CCC[C@H]1C(=O)NCCCCN=C(N)N
DB04773	[H][C@](C)(O)CC(=O)O[C@]([H])(C)CC(=O)O[C@]([H])(C)CC(=O)OC
DB04774	CO[C@H](C\C=C\N(C)C=O)[C@@H](C)C(=O)CC[C@H](C)[C@H](OC)[C@H](C)[C@H]1OC(=O)\C=C\C=C(C)\C[C@H](CC2=CC(=O)O[C@H](C2)[C@H](C)[C@H](C[C@H](OC)\C=C\[C@H](C)[C@H](C[C@@H](OC)\C=C\[C@@H]1C)OC)OC)OC
DB04775	[H]/C1=C([H])\C(=O)O[C@]([H])([C@@]([H])(C)[C@@]([H])(OC)[C@@]([H])(C)CCC(=O)[C@]([H])(C)[C@@]([H])(CCC(O)=O)OC)[C@@]([H])(C)\C([H])=C([H])\[C@@]([H])(C[C@]([H])(OC)[C@@]([H])(C)\C([H])=C([H])\[C@]([H])(C[C@]([H])(OC)[C@@]([H])(C)[C@@]2([H])CC(C[C@@]([H])(C\C(C)=C\1/[H])OC)=CC(=O)O2)OC)OC
DB04776	[H][C@@](CC)(CO)NC1=NC2=C(N=CN2C(C)C)C(=N1)N(C)CC1=CC=CC=C1
DB04777	[O-][N+](=O)C1=CC=C(C=C1)[C@@H]1CO1
DB04779	CCS\C(CC1=CC=CC=C1)=N/OS(O)(=O)=O
DB04781	OCCCCC(O)=O
DB04782	[O-][N+](=O)C1=CC=C(C=C1)[C@H]1CO1
DB04783	CO[C@H](C\C=C\N(C)C=O)[C@@H](C)C(=O)CC[C@H](C)[C@H](OC)[C@H](C)[C@H]1OC(=O)\C=C\C=C(C)/C[C@H](CC2=CC(=O)O[C@H]([C@H]2O)[C@H](C)[C@H](C[C@H](OC)\C=C\[C@H](C)[C@@H](O)C[C@@H](OC)\C=C\[C@@H]1C)OC)OC
DB04784	C[C@@H](O)C1=CC=CC=C1
DB04787	CN1C(=CC=C1C1=CC=C2NC(=S)OC(C)(C)C2=C1)C#N
DB04788	[H]N([H])[C@H]1[C@@H](OC(C)=O)[C@@]2([H])O[C@](CS[C@@]2(O)C(=O)N([H])[H])([C@@H]1OP(O)(O)=O)C(O)=O
DB04789	CN1C(CNC2=CC=C(C=C2)C(=O)N[C@@H](CCC(O)=O)C(O)=O)CNC2=C1C(=O)N=C(N)N2
DB04790	[H][C@]1(CO[C@]2([H])[C@]([H])(CO[C@]12[H])OC1=CC=CC(=C1)C(N)=N)OC1=CC(=CC=C1)C(N)=N
DB04791	[H][C@@]1(CO[C@]2([H])[C@@]([H])(CO[C@]12[H])OC1=CC=CC(=C1)C(N)=N)OC1=CC=C(C=C1)C(N)=N
DB04792	[H][C@]1(CO[C@]2([H])[C@]([H])(CO[C@]12[H])OC1=CC=C(C=C1)C(N)=N)OC1=CC=C(C=C1)C(N)=N
DB04793	[H]N=C(N([H])[H])C1=CC=C(O[C@@H]2CO[C@]3([H])[C@H](CO[C@]23[H])OC2=CC=CC(=C2)C(=N[H])N([H])[H])C=C1
DB04795	FC(F)(F)C(=O)CC(=O)C1=CC=CS1
DB04796	[H][C@@]1(CC[C@]2([H])\C(CCC[C@]12C)=C\C=C1C[C@@H](O)C[C@H](O)C1)[C@H](C)CC#CC(C)(C)O
DB04797	CC(C)C1=NN=C2C=CC(=CN12)C1=C(N=CO1)C1=CC=C(F)C=C1
DB04798	[H][C@]([NH3+])(CC1=C(SN=C1[O-])C(C)(C)C)C(O)=O
DB04799	CCCCCCCCCCCC1=C(O)C(=O)C2=C(N=CS2)C1=O
DB04800	CN1N=C(C=C1NS(O)(=O)=O)C1=CC=CC=C1
DB04801	CCCCCC\C=C/CCCCCCCCCC(O)=O
DB04803	CC1=CC2=CC3=[N+]4C(=CC5=C(C=C)C(C)=C6OC7=C(C=C)C(C)=C8C=C1N2[Fe]4(N56)N78)C(C)=C3CCC(O)=O
DB04805	[H][C@@]12CCCN1C(=O)[C@@H](CC)NC(=O)[C@@H](NC(=O)C1=NC=CC=C1O)[C@@H](C)OC(=O)[C@@H](NC(=O)[C@]1([H])CC(=O)CCN1C(=O)[C@]([H])(CC1=CC=CC=C1)N(C)C2=O)C1=CC=CC=C1
DB04807	O[C@@H]1CO[C@H](SC[C@H]2O[C@@H](OC3=CC=C(C=C3)[N+]([O-])=O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H]1O
DB04809	[Fe+4].[H]\C(=N/C1=C(C=C(CCC(O)=O)C=C1)/N=C(\[H])C1=CC=CC=C1[O-])C1=CC=CC=C1[O-]
DB04810	[Fe+4].[H]\C(=N/C1=C(C=C(C=C1)C(O)=O)/N=C(\[H])C1=CC=CC=C1[O-])C1=CC=CC=C1[O-]
DB04811	[Fe+4].[H]\C(=N/C1=CC=CC=C1\N=C(/[H])C1=CC=CC=C1[O-])C1=CC=CC=C1[O-]
DB04820	O=C(CCNNC(=O)C1=CC=NC=C1)NCC1=CC=CC=C1
DB04824	OC1=CC=C(C=C1)C1(OC(=O)C2=CC=CC=C12)C1=CC=C(O)C=C1
DB04834	[H][C@@]12C[C@@H]([C@H](OC(=O)CC)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])C[C@H](OC(C)=O)[C@H](C[C@]12C)N1CCCCC1)[N+]1(CC=C)CCCCC1
DB04836	OC(=O)CCCCCCNC1C2=CC=CC=C2CCC2=CC=CC=C12
DB04837	CN(C)CCC(O)(C1=CC=CC=C1)C1=CC=CC=C1Cl
DB04843	C[N+]1(C)CCCC(C1)OC(=O)C(O)(C1=CC=CC=C1)C1=CC=CC=C1
DB04847	CC1=NC(C(=O)NCC(O)=O)=C(O)C2=C1C=C(OC1=CC=CC=C1)C=C2
DB04849	COC1=CC2=C(C=C1OCCCN1CCCC1)N=CN=C2OC1=C(F)C2=C(NC(C)=C2)C=C1
DB04850	OC[C@H](O)C(=O)N1CCC(=CC1)C1=C(F)C=C(C=C1F)N1C[C@H](COC2=NOC=C2)OC1=O
DB04851	COC1=CC(=CC(OC)=C1OC)C(=O)C(=O)N1CCCC[C@H]1C(=O)OC(CCCC1=CN=CC=C1)CCCC1=CN=CC=C1
DB04852	CC1=NC2=C(C3=CC=CC=C3N2CC2=CC(=CC=C2)[C@H](C2CCCC2)C(=O)N[C@@H](CO)C2=CC=CC=C2)C(C)=C1
DB04853	OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C(N)N=C(N\N=C\C3CCCCC3)N=C12
DB04854	CC(C)COC1=C(C=C(C=C1)C1=NC(C)=C(S1)C(O)=O)C#N
DB04857	[H][C@@]12CC[C@@]([H])(N1C)[C@]([H])(\C=N\OC)[C@H](C2)C1=CC(Cl)=C(Cl)C=C1
DB04859	O=C(CCC1CCN(CC2=CC=CC=C2)CC1)C1=CC2=C(CCCCN2)C=C1
DB04860	NC1=NC(=O)C2=C(N1)N([C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O)C(=O)S2
DB04862	COC1=C(C=CC(NC(=O)NC2=CC=CC(CNC(=O)O[C@H]3CCOC3)=C2)=C1)C1=CN=CO1
DB04863	[H][C@@]1(COC2=CC=C(C=C2)C2=CC=C(C=C2)C(=N)NC(=O)OC)C[C@@H](CC(=O)OC)C(=O)N1
DB04864	[H][C@@]12CC3=C(C=CC(=O)N3)[C@@](N)(CC(C)=C1)\C2=C\C
DB04865	[H][C@@]1(OC(=O)[C@@](O)(CCCC(C)(C)O)CC(=O)OC)C(OC)=C[C@]23CCCN2CCC2=CC4=C(OCO4)C=C2[C@]13[H]
DB04866	[H][C@]1(O)CCCN[C@]1([H])CC(=O)CN1C=NC2=C(C=C(Cl)C(Br)=C2)C1=O
DB04867	OC(=O)CN1C(=CC2=CC=CC=C12)C(=O)NC1=NC(=CS1)C1=CC=CC=C1Cl
DB04869	NCCCC[C@H](NC(=O)[C@@H](CC1=CC(Br)=C(O)C(Br)=C1)NC(=O)N1CCC(CC1)N1CC2=C(NC1=O)C=CC=C2)C(=O)N1CCN(CC1)C1=CC=NC=C1
DB04872	CN(C(C)=O)C1(CCN(CCC[C@@]2(CCCN(C2)C(=O)C2=CC=CC=C2)C2=CC(Cl)=C(Cl)C=C2)CC1)C1=CC=CC=C1
DB04873	CCCCN1CCC(CNC(=O)C2=C3OCCCN3C3=CC=CC=C23)CC1
DB04875	CCO[C@@H]1OC(=O)C[C@@H]1NC(=O)[C@@H]1CCCN2N1C(=O)[C@H](CCC2=O)NC(=O)C1=NC=CC2=CC=CC=C12
DB04876	OC12CC3CC(C1)CC(C3)(C2)NCC(=O)N1CCC[C@H]1C#N
DB04877	[H][C@@]12C[C@H](CC)[C@]3([H])N(C1)CCC1=C(NC4=CC(=C(OC)C=C14)[C@@]1([H])C[C@]4([H])C(C(=O)OC)[C@@]([H])(CC5=C1NC1=CC=CC=C51)N(C)C\C4=C\C)[C@@]3(C2)C(=O)OC
DB04878	OCC(CO)N[C@H]1C[C@](O)(CO)[C@@H](O)[C@H](O)[C@H]1O
DB04879	ClC1=CC=C(NC2=NN=C(CC3=CC=NC=C3)C3=CC=CC=C23)C=C1
DB04880	CSC1=CC=C(C=C1)C(=O)C1=C(C)NC(=O)N1
DB04881	COC1=CC=CC2=C1NC1=C(C=CC=C1C(=O)NC1=CC=C(CCN3CCC4=CC(OC)=C(OC)C=C4C3)C=C1)C2=O
DB04882	OCC(CO)NN1C(=O)C2=C3C(NC4=C3C=CC(O)=C4)=C3N([C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)C4=C(C=CC(O)=C4)C3=C2C1=O
DB04883	COC1=CC(OC)=NC(O[C@H](C(O)=O)C(OC)(C2=CC=CC=C2)C2=CC=CC=C2)=N1
DB04885	CC1=NC=CN1C[C@H]1CCC2=C(C3=CC=CC4=C3N2CCC4)C1=O
DB04887	[H][C@]12OCC[C@@]1([H])[C@H](CO2)OC(=O)N[C@@H](CC1=CC=C(OCC2=CSC(C)=N2)C=C1)[C@H](O)CN(CC(C)C)S(=O)(=O)C1=CC2=C(OCO2)C=C1
DB04888	O=C1NC2=C(O1)C(=CC=C2)N1CCN(CC2=CC(=CC=C2)C2=CC=CC=C2)CC1
DB04890	OC(=O)CCCN1CCC(CC1)OC(C1=CC=C(Cl)C=C1)C1=CC=CC=N1
DB04891	CC[C@@](C)([H])[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1/C[C@](O)([H])C(=C)[C@]([H])(O)C1
DB04892	[H][C@]12N(C)CC[C@@]1(C)C1=C(C=CC(OC(=O)NC3=CC=CC=C3)=C1)N2C
DB04893	
DB04903	CC(C)CCC(=O)CC1N(C(=O)C2=CC=CC=C12)C1=NC2=C(C=CC(Cl)=N2)C=C1
DB04910	CCCOC1=CC2=C(C=C1)N=C(NC(=O)OC)N2
DB04912	[Cl-].[Cl-].[Sn+4].CCC1=C2[N-]C(\C=C3/N=C(/C=C4\[N-]\C(=C/C5=N/C(=C\2)/C(C)=C5CC)C(C)=C4CCC(O)=O)C(CCC(O)=O)=C3C)=C1C
DB04915	OC1=CC=C(C=C1)C1=CC2=C(OC1)C=C(O)C=C2
DB04917	COC1=C(C=CC(N)=C1Cl)C(=O)NC1CCN2CCCC1C2
DB04918	[H][C@@]1(NC(=O)C(=N/O)\C2=NSC(N)=N2)C(=O)N2C(C(O)=O)=C(CS[C@]12[H])\C=C1/CCN(C1=O)[C@]1([H])CCNC1
DB04924	COC1=CC=C(C=C1OC)C(=O)NCC1=CC=C(OCCN(C)C)C=C1
DB04926	CC1(C)CC(C)(C)CC(C)(N)C1
DB04929	
DB04931	CCCC[C@H](NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(C)=O)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CC1=CN=CN1)C(=O)N[C@H](CC1=CC=CC=C1)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CC1=CNC2=CC=CC=C12)C(=O)NCC(=O)N[C@@H](CCCCN)C(=O)N1CCC[C@H]1C(=O)N[C@@H](C(C)C)C(N)=O
DB04933	CCCCCCCCCCCC(=O)CC(=O)N[C@H]1[C@@H](OP(O)(O)=O)O[C@H](CO[C@@H]2O[C@H](COC)[C@@H](OP(O)(O)=O)[C@H](OCC[C@@H](CCCCCCC)OC)[C@H]2NC(=O)CCCCCCCCC\C=C/CCCCCC)[C@@H](O)[C@@H]1OCCCCCCCCCC
DB04941	
DB04947	[H][C@]12CC[C@]([H])([C@H]([C@H](C1)C1=CC=C(F)C=C1)C(=O)OC)N2C\C=C\I
DB04954	OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C(N[C@@H]3CCOC3)N=CN=C12
DB04960	CN1C=NC=C1[C@@](N)(C1=CC=C(Cl)C=C1)C1=CC2=C(C=C1)N(C)C(=O)C=C2C1=CC(Cl)=CC=C1
DB04967	CCN(CC)CCNC1=C2C(=O)C3=CC=CC=C3SC2=C(C)C=C1
DB04970	ClC1=CN(CCCCN2CCN(CC2)C2=NC=CC=N2)N=C1
DB04971	CC1=C(CCOC2=CC=C(CC3C(=O)NOC3=O)C=C2)N=C(O1)C1=CC=CC=C1
DB04972	N[C@@H](CCC(=O)N[C@@H](CS(=O)(=O)CCOP(=O)(N(CCCl)CCCl)N(CCCl)CCCl)C(=O)N[C@@H](C(O)=O)C1=CC=CC=C1)C(O)=O
DB04974	CC[C@H](C(=O)N1CCCC[C@H]1C(=O)O[C@H](CCC1=CC=C(OC)C(OC)=C1)C1=CC(OCC(=O)NCCNC(=O)COC2=CC=CC(=C2)[C@@H](CCC2=CC=C(OC)C(OC)=C2)OC(=O)[C@@H]2CCCCN2C(=O)[C@@H](CC)C2=CC(OC)=C(OC)C(OC)=C2)=CC=C1)C1=CC(OC)=C(OC)C(OC)=C1
DB04978	
DB04982	C[C@@H]1CC2=CC3=C(OCO3)C=C2C(=NN1C(C)=O)C1=CC=C(N)C=C1
DB04983	[H]N([H])C1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](COP(O)(=O)OP(O)(=O)OP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=CC(=O)N([H])C2=O)O1
DB04991	
DB04997	
DB04998	[H][C@]1(O)C[C@@]([H])(O[C@]1([H])COP(O)(=O)O[C@@]1([H])C[C@@]([H])(O[C@]1([H])COP(O)(=O)O[C@@]1([H])C[C@@]([H])(O[C@]1([H])COP(O)(=O)O[C@@]1([H])C[C@@]([H])(O[C@]1([H])COP(O)(=O)O[C@@]1([H])C[C@@]([H])(O[C@]1([H])COP(O)(=O)O[C@@]1([H])C[C@@]([H])(O[C@]1([H])COP(O)(=O)O[C@@]1([H])C[C@@]([H])(O[C@]1([H])COP(O)(=O)O[C@@]1([H])C[C@@]([H])(O[C@]1([H])COP(O)(=O)O[C@@]1([H])C[C@@]([H])(O[C@]1([H])COP(O)(=O)O[C@@]1([H])C[C@@]([H])(O[C@]1([H])COP(O)(=O)O[C@@]1([H])C[C@@]([H])(O[C@]1([H])COP(O)(=O)O[C@@]1([H])C[C@@]([H])(O[C@]1([H])COP(O)(=O)O[C@@]1([H])C[C@@]([H])(O[C@]1([H])COP(O)(=O)O[C@@]1([H])C[C@@]([H])(O[C@]1([H])COP(O)(=O)O[C@@]1([H])C[C@@]([H])(O[C@]1([H])COP(O)(=O)O[C@@]1([H])C[C@@]([H])(O[C@]1([H])COP(O)(=O)O[C@@]1([H])C[C@@]([H])(O[C@]1([H])COP(O)(=O)O[C@@]1([H])C[C@@]([H])(O[C@]1([H])COP(O)(=O)O[C@@]1([H])C[C@@]([H])(O[C@]1([H])COP(O)(=O)O[C@@]1([H])C[C@@]([H])(O[C@]1([H])COP(O)(=O)O[C@@]1([H])C[C@@]([H])(O[C@]1([H])COP(O)(=O)O[C@@]1([H])C[C@@]([H])(O[C@]1([H])COP(O)(=O)O[C@@]1([H])C[C@@]([H])(O[C@]1([H])COP(O)(=O)O[C@@]1([H])C[C@@]([H])(O[C@]1([H])COP(O)(=O)O[C@@]1([H])C[C@@]([H])(O[C@]1([H])COP(O)(=O)OC1([H])CC([H])(OC1([H])CO)N1C=NC2=C1NC(=N)N=C2O)N1C=NC2=C1NC(=N)N=C2O)N1C=C(C)C(O)=NC1=O)N1C=NC2=C1NC(=N)N=C2O)N1C=NC2=C1NC(=N)N=C2O)N1C=C(C)C(O)=NC1=O)N1C=NC2=C1NC(=N)N=C2O)N1C=NC2=C1NC(=N)N=C2O)N1C=C(C)C(O)=NC1=O)N1C=NC2=C1NC(=N)N=C2O)N1C=NC2=C1NC(=N)N=C2O)N1C=C(C)C(O)=NC1=O)N1C=C(C)C(O)=NC1=O)N1C=NC2=C1NC(=N)N=C2O)N1C=C(C)C(O)=NC1=O)N1C=NC2=C1NC(=N)N=C2O)N1C=NC2=C1NC(=N)N=C2O)N1C=C(C)C(O)=NC1=O)N1C=NC2=C1NC(=N)N=C2O)N1C=NC2=C1NC(=N)N=C2O)N1C=C(C)C(O)=NC1=O)N1C=NC2=C1NC(=N)N=C2O)N1C=NC2=C1NC(=N)N=C2O)N1C=C(C)C(O)=NC1=O)N1C=NC2=C1NC(=N)N=C2O)N1C=NC2=C1NC(=N)N=C2O
DB05001	
DB05003	NC1=NC(=O)N2CC12
DB05004	
DB05009	CCNC(=O)[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=C(N=C2N)C#CC[C@H]1CC[C@@H](CC1)C(=O)OC
DB05010	CCCCP(O)(=O)CCCN
DB05012	
DB05013	[H][C@@]12C[C@@H](C)[C@]34C=C(C)[C@H](OC(=O)C(\C)=C/C)[C@@]3(O)[C@H](O)C(CO)=C[C@@]([H])(C4=O)[C@]1([H])C2(C)C
DB05014	
DB05017	
DB05020	CC(C)(C)C(=O)OCOP(=O)(COC1(CN2C=NC3=CN=C(N)N=C23)CC1)OCOC(=O)C(C)(C)C
DB05022	CN(C)CCN1C(=O)C2=CC=CC3=CC(N)=CC(C1=O)=C23
DB05023	
DB05024	
DB05025	O[C@@H](CON=C(Cl)C1=C[N+]([O-])=CC=C1)CN1CCCCC1
DB05032	
DB05033	
DB05034	CC[C@H](C)[C@@H]1NC(=O)[C@H](CCCNC(N)=N)NC(=O)[C@H](CC(O)=O)NC(=O)[C@H](CCSC)NC(=O)[C@H](CCCNC(N)=N)NC(=O)CNC(=O)CNC(=O)[C@H](CC2=CC=CC=C2)NC(=O)[C@H](CSSC[C@H](NC(=O)CNC(=O)[C@H](CC(C)C)NC(=O)CNC(=O)[C@H](CO)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](C)NC(=O)CNC1=O)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CC1=CC=C(O)C=C1)C(O)=O)NC(=O)[C@H](CO)NC(=O)[C@H](CO)NC(=O)[C@H](CCCNC(N)=N)NC(=O)[C@H](CCCNC(N)=N)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CO)NC(=O)[C@H](CCCNC(N)=N)NC(=O)[C@@H]1CCCN1C(=O)[C@H](C)NC(=O)[C@@H](N)[C@@H](C)O
DB05035	CC(C)C1=C(O)C=CC(OC2=C(Br)C=C(NC(=O)CC(O)=O)C=C2Br)=C1
DB05036	
DB05038	CC1=CC(C)=C2C=CC=C(OCC3=C(Cl)C=CC(=C3Cl)S(=O)(=O)N3CCC[C@H]3C(=O)NCCCNC(=O)C3=CC=C(C=C3)C(N)=N)C2=N1
DB05042	
DB05045	CC[C@H](C)[C@H](N=C(O)[C@H](CC1=CC=C(O)C=C1)N=C(O)[C@H](CCCNC(N)=N)N=C(O)[C@H](CCCNC(N)=N)N=C(O)[C@H](CC(C)C)N=C(O)[C@H](CC(O)=O)N=C(O)[C@H](C)N=C(O)[C@H](C)N=C(O)[C@H](CC1=CC=C(O)C=C1)N=C(O)[C@H](CCC(O)=N)N=C(O)[C@H](C)N=C(O)[C@H](CCSC)N=C(O)[C@H](CCC(O)=N)N=C(O)[C@H](CCC(O)=O)N=C(O)[C@@H]1CCCN1C(=O)[C@@H](N=C(O)[C@H](C)N=C(O)[C@H](CC(O)=N)N=C(O)[C@H](CC(O)=O)N=C(O)CN=C(O)[C@@H]1CCCN1C(=O)[C@H](CC1=CC=C(O)C=C1)N=C(O)[C@@H](N=C(O)[C@@H]1CCCN1C(=O)[C@H](CCC(O)=O)N=C(O)[C@H](CC(C)C)N=C(O)[C@@H]1CCCN1C(=O)[C@H](C)N)C(C)C)[C@@H](C)O)C(O)=N[C@@H](CC(O)=N)C(O)=N[C@@H](CCSC)C(O)=N[C@@H](CC(C)C)C(O)=N[C@@H]([C@@H](C)O)C(O)=N[C@@H](CCCNC(N)=N)C(O)=N[C@@H](CCC(O)=N)C(O)=N[C@@H](CCCNC(N)=N)C(O)=N[C@@H](CC1=CC=C(O)C=C1)C(O)=N
DB05046	
DB05047	O=C(N1CCOCC1)C1=CC2=NON=C2C=C1
DB05049	
DB05050	
DB05052	
DB05053	CCOC(=O)C(C)(C)NP(=O)(NC(C)(C)C(=O)OCC)C1=CC=C(O1)C1=C(SC(N)=N1)C(=O)C(C)(C)C
DB05060	
DB05064	
DB05069	
DB05070	
DB05072	
DB05075	CC1=C2N=C(NC3=CC=C(OCCN4CCCC4)C=C3)N=NC2=CC(=C1)C1=CC(OC(=O)C2=CC=CC=C2)=CC=C1Cl
DB05077	
DB05078	
DB05079	
DB05080	
DB05085	
DB05087	[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])C[C@](C)(O)CC[C@]12C
DB05088	[S-][Mo]([S-])(=S)=S
DB05091	
DB05092	
DB05096	
DB05098	
DB05102	CCOC(=O)\C=C\[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@@H](CC(=O)[C@H](C(C)C)NC(=O)C1=NOC(C)=C1)CC1=CC=C(F)C=C1
DB05104	CN([C@H](CN1CC[C@H](O)C1)C1=CC=CC=C1)C(=O)C(C1=CC=CC=C1)C1=CC=CC=C1
DB05105	CC1=NOC(CCCOC2=C(C)C=C(C=C2C)C2=NOC(=N2)C(F)(F)F)=C1
