DB02570	[H][C@](S)(CC1=CC=C(I)C=C1)C(O)=O
DB03444	O\N=C1\C(\NC2=C\1C=CC=C2)=C1\C(=O)NC2=CC(Br)=CC=C12
DB03445	CC(CN1C=CN=N1)([C@@H](N\C=C\C=O)C(O)=O)S(=O)=O
DB03446	[H][C@]1(CO)O[C@]([H])(OC2=CC=CC(=C2)C(=O)NCC2=CC=CC=C2)[C@]([H])(O)[C@@]([H])(O)[C@@]1([H])O
DB03447	NC1=C2N=CN([C@@H]3O[C@H](COP(O)(=O)O[C@@H]4[C@H](O)[C@@H](CO)O[C@H]4N4C=CC(=O)NC4=O)[C@@H](O)[C@H]3O)C2=NC=N1
DB03448	OC[C@H]1O[C@H](C[C@@H]1OP(O)(O)=O)N1C=CC(=O)NC1=O
DB03449	[H]N([H])C(=N/C1=CC=C(CCN([H])CC2=CC(Cl)=CC=C2)C=C1)\C1=CC=CS1
DB03450	[H][C@@](NC(=O)CC1=CC=CS1)(C=O)[C@]1([H])NC(C(O)=O)=C(CC(=O)OC)CS1
DB03451	[H][C@@]1(CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)C[C@H](O)C1=C)[C@@H](C)OCCCC(O)(CC)CC
DB03452	C[Si](C)(C)C(CC(O)=O)C(O)=O
DB03453	[H]N=C(N([H])[H])N1CCC[C@H](CC(=O)N([H])[C@@H](CC2=CC=C(C=C2)C#CC2=CC=CC=C2)C(=O)OC)C1
DB03454	CC1=CC=CC(O)=C1O
DB03455	[H][C@](NOCCS)(C(O)=O)C1=CNC2=C1C=CC=C2
DB03456	[H][C@@](CC(C)C)(NC(=O)OCC1=CC=CC=C1)C(=O)N[C@]1([H])CCN(C1)C#N
DB03459	[H]N([C@@H](CC(O)=O)C(O)=O)C(=O)CP(O)(O)=O
DB03461	NC(=O)C1=CC=C[N+](=C1)[C@@H]1O[C@H](COP([O-])(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](OP(O)(O)=O)[C@@H]2O)N2C=NC3=C2N=CN=C3N)[C@@H](O)[C@H]1O
DB03462	CC1=CNC(=O)NC1=O
DB03464	[H][C@]1(COP(O)(O)=O)O[C@@]([H])(C2=C3N=CN=C(N)C3=NN2)[C@]([H])(O)[C@]1([H])O
DB03466	CC1(C)CCC(C)(C)C2=C1C=CC(=C2)[C@@H](O)C1=CC2=C(C=C1)C=C(C=C2)C(O)=O
DB03467	[H][C@]1(CC(=O)C2=C(O1)C=C(O)C=C2O)C1=CC=C(O)C=C1
DB03468	NS(=O)(=O)C1=CC2=C(CCNC2)C=C1
DB03469	CC1=C(CCC(O)=O)C2=CC3=C(CCC(O)=O)C(C)=C4C=C5[N+]6=C(C=C7N8C(C=C1N2[Fe]68N34)=C([O-])[C@]7(C)CC(O)=O)C(=O)[C@]5(C)CC(O)=O
DB03470	N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)NCCCCNCCCNC(=O)CNC(=O)[C@H](CS)NC(=O)CC[C@H](N)C(O)=O)C(O)=O
DB03471	[H]N([C@@H](CCC(O)=O)CCC1=CC=CC=C1)C(=O)CCCCCCC1=CC=CC=C1
DB03472	[H][C@]1(CO)O[C@]([H])(O[C@]2([H])[C@@]([H])(CO)O[C@@]([H])(OCCCCCCC3CCCCC3)[C@]([H])(O)[C@@]2([H])O)[C@]([H])(O)[C@@]([H])(O)[C@]1([H])O
DB03473	CNC(=O)CC[C@H](N)C(O)=O
DB03475	CCC(CC)NC1=CC(=CC=C1N1C(=O)CCC1(CO)CO)C(O)=O
DB03476	[H][C@]1(C[C@@]1([H])C1=CC2=CC=C(C=C2C=C1)C(N)=N)C1=CC=CC=C1
DB03477	NS(=O)(=O)C1=CC=C(C=C1)N1N=C(C=C1C1=CC=C(Br)C=C1)C(F)(F)F
DB03478	[H][C@]1(O)O[C@]([H])(COP(O)(=O)OP(O)(=O)OC[C@@]2([H])O[C@@]([H])(N3C=NC4=C(N)N=CN=C34)[C@]([H])(O)[C@]2([H])O)[C@@]([H])(O)[C@@]1([H])OC(C)=O
DB03479	CN1C(=O)N[C@@]2(O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)C1=O
DB03480	CC1=C(N=C2C=CC(F)=CC2=C1C(O)=O)C1=CC=C(C=C1)C1=CC=CC=C1
DB03481	C[C@H]1[C@@H]2[C@@H](C)NC3=C(N2CN1C1=CC=C(C[C@@H](O)[C@@H](O)[C@H](O)CO[C@H]2O[C@H](CO[P@@](O)(=O)O[C@@H](CCC(O)=O)C(O)=O)[C@@H](O)[C@@H]2O)C=C1)C(=O)NC(N)=N3
DB03482	[H]N([H])C1=C2N=CN([C@@H]3O[C@H](COP(O)(=O)OP(O)(=O)OC[C@@H](O)[C@@H](O)[C@@H](O)CN4C5=C(C=C(C)C(=C5)N(C)C)N=C5C(=O)N([H])C(=O)N=C45)[C@@H](O)[C@H]3O)C2=NC=N1
DB03483	[H]N([H])C(=O)[C@H](CC1=CC=C(C=C1)C(F)(F)P(O)(O)=O)N([H])C(=O)[C@H](CC1=CC=C(C=C1)C(F)(F)P(O)(O)=O)N([H])C(=O)[C@H](CCC(O)=O)N([H])C(=O)C1=CC=CC=C1
DB03484	[H][C@](O)(CO)COP(O)(=O)OCCN
DB03485	C[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@H]1O
DB03486	NC1=NC2=C(N=CN2[C@@H]2O[C@H](COP(O)(=O)CP(O)(O)=O)[C@@H](O)[C@H]2O)C(=O)N1
DB03487	[H]N1C(=O)C[C@H](N)C1=O
DB03488	OC[C@H]1O[C@H](OP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=CC(=O)NC2=O)[C@H](F)[C@@H](O)[C@@H]1O
DB03489	OC[C@H](O)[C@@H](O)CC(=O)C(O)=O
DB03490	C1C2=C(C=CC=C2)C2=NNC(=C12)C1=CC=NC=C1
DB03491	NC1=NC2=C(N=CN2[C@H]2C[C@H](O)[C@@H](COP(O)(=O)OP(O)(O)=O)O2)C(=O)N1
DB03492	C1=CN(C=N1)[Os++]123[N]4=CC=CC=C4C4=[N]1C=CC=C4.C1=CC(C4=CC=CC=[N]24)=[N]3C=C1
DB03493	CN1C=[N+]([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C2=C1C(=O)N=C(N)N2
DB03495	[H][C@]1(C)O[C@]([H])(O[C@]2([H])[C@@]([H])(CO)O[C@]([H])(OC[C@@]3([H])O[C@@]([H])(O)[C@]([H])(O)[C@@]([H])(O)[C@]3([H])O)[C@]([H])(O)[C@@]2([H])O)[C@]([H])(O)[C@@]([H])(O)[C@]1([H])N[C@@]1([H])C=C(CO)[C@@]([H])(O)[C@]([H])(O)[C@@]1([H])O
DB03498	[O-]P([O-])(=O)CS
DB03499	O[C@H](CC(O)=O)C(O)=O
DB03500	CCCCCCCCCCCCCCCCCCCCCCC(O)=O
DB03501	OC[C@H]1O[C@H](O[P@@](O)(=O)O[P@@](O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=CC(=O)NC2=O)[C@H](O)[C@@H](O)[C@H]1O
DB03502	[H][C@](O)(C[C@]([H])(N)C(O)=O)SC[C@]([H])(N)C(O)=O
DB03503	CCCN(C)C(=O)[C@@H]1OC(=C[C@H](NC(N)=N)[C@H]1NC(C)=O)C(O)=O
DB03504	CCCCN1C(CC2=CC(OC)=C(OC)C(OC)=C2Cl)=NC2=C(N)N=CN=C12
DB03505	NC1=CC2=C(O)N=C(N)N=C2C=C1
DB03506	[H]N([H])C1=NC=NC2=C1N([H])C=C2
DB03507	[O-][N+](=O)C1=CC(=CC=C1)C1=CC2=C(S1)C=C1N2C(=S)N(CCCN2CCOCC2)C1=O
DB03509	NC(=O)C1=CC=CC2=NC=C(N=C12)C1=CC=C(Cl)C=C1
DB03510	[H][C@]1(COP(O)(O)=O)O[C@@]([H])(N2C=NC3=C2N=CN=C3OP(O)(O)=O)[C@]([H])(O)[C@]1([H])O
DB03512	OC[C@@H]1O[C@H]([C@H]2O[V](O)(O)(=O)O[C@H]12)N1C=CC(=O)NC1=O
DB03516	O=C1NC=C(C#C)C(=O)N1
DB03517	CSCC([O-])=O
DB03518	C[C@@](O)(CCO)CC(O)=O
DB03522	N[C@@H](CC(=O)OCC(O)=O)C(O)=O
DB03523	CC1=C(N=C2C=CC(F)=CC2=C1C(O)=O)C1=CC=C(C=C1)C1=CC=CC=C1F
DB03524	NCCCN1CCN(CCCNC(=O)C2=CC(NC(=O)CC3=CC=CS3)=CC(O[C@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)=C2)CC1
DB03525	OP(O)(=O)OC1=C2NCCCC2=CC=C1
DB03526	COC1=CC=C(CNS(=O)(=O)C2=CC=C(S2)S(N)(=O)=O)C=C1
DB03528	[H][C@]1(CO)O[C@@]([H])(N2C=NC3=C(N)N=CN=C23)[C@]([H])(O)[C@@]1([H])O
DB03530	[H]N([H])C1=NC(=CS1)C(=N\OC(C)(C)C(O)=O)\C(=O)N([H])[C@H](C=O)[C@@]1([H])SCC(=C)C(=N1)C(O)=O
DB03531	CC(C)C(=O)N1C2=C(C=C(C)C(C)=C2)N(C[C@H](O)[C@H](O)[C@H](O)COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)[N+]2=CN=C3C2=NC=NC3=N)C2=C1C([O-])=NC(=O)N2
DB03532	NC1=NC(=O)C2=C(N1)N(C=N2)[C@@H]1O[C@H](COP(O)(=O)CP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O
DB03533	[H][C@@]12NC(=O)N[C@]1([H])NC(=O)N2
DB03534	CN(CC1=C(N)C=CC(=C1)C(=O)N(C)CC1=CC2=C(C=CC=C2)N1C)C(C)=O
DB03535	[H][C@]1(CCCN1C(=O)[C@]1([H])CCCN1C(=O)OCC1=CC=CC=C1)C=O
DB03536	C[C@H](NC(=O)[C@H](CCCNC(N)N)NC(=O)OCC1=CC=CC=C1)C(=O)CF
DB03539	[H][C@]1(O)[C@]([H])(O)[C@@]2([H])N=C(O[C@@]2([H])[C@]1([H])CO)N=C
DB03540	[H][C@]12CC[C@]([H])(C1)C(=O)C2
DB03541	[H][C@@](CCC(O)=O)(NC(=O)C1=CC=C(C=C1)N(CC#C)CC1=CC=C2NC(N)=NC(=O)C2=C1)C(O)=O
DB03542	[H][C@]1(O)[C@]([H])(O)[C@]([H])(O)[C@]([H])(OP([O-])([O-])=O)[C@@]([H])(O)[C@]1([H])O
DB03543	[H][C@@](O)(CNC1=CC=CC=C1C(O)=O)[C@]([H])(O)[C@]([H])(O)COP(O)(O)=O
DB03544	N[C@@H](CSP(O)(O)=O)C(O)=O
DB03546	[H][C@@](CCC(O)=O)(NC(=O)C1=CC=C(C=C1)[C@@]([H])(CCCC1C(O)=N[C@]([H])(N)N[C@]1([H])N)C(O)(O)C(F)(F)F)C(O)=O
DB03548	[H][C@@]1(O[C@](O)(C[C@@H](O)[C@H]1O)C(O)=O)[C@H](O)CO
DB03549	[H][C@@]1(CCCCC(=O)NC2=CC=C(C=C2)[N+]([O-])=O)SC[C@]2([H])NC(=O)N[C@]12[H]
DB03551	[H]N1C=C(C[N+]2([H])C[C@H](O)[C@@H](CO)C2)C2N=CN([H])C(=O)C12
DB03552	N[C@@H](CC1=CC=CC(O)=C1)C(O)=O
DB03553	OC(=O)CCCC(O)=O
DB03554	IC1=CNC(=O)NC1=O
DB03555	[H][C@]1(C)CCCC[C@]1([H])OC1=CC=CC(C2=NC3=C(N2)C=C(F)C(=C3)C(N)=N)=C1O
DB03556	CCOCCOCCOCCOCCOCCOCCOCCOCCO
DB03557	NC(=O)C(CS)NC(=O)CCCCCNC(=O)[C@H](CC1=CC=C(C=C1)C(F)(F)P(O)(O)=O)NC(=O)C(CC(O)=O)NC(=O)CC1=CC=C(C=C1)C(F)(F)P(O)(O)=O
DB03558	OC(=O)CCNC(=O)[C@H]1CCCN1S(=O)(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCC(O)=O)C(O)=O
DB03559	[H]C(=O)NC1CCCCC1
DB03562	[H]N1C(=O)CCN(C2C[C@H](O)[C@@H](CO)O2)C1=O
DB03564	C[C@H](O)CC(C)(C)O
DB03565	[H][C@@](COCCCCCCCC)(COP(O)(=O)OCCN)OP(O)(=O)CCCCCCC
DB03566	NCCCCNCCCN
DB03569	[H][C@@]1(O)OC(C(O)=O)=C(O)[C@]([H])(O)[C@@]1([H])O
DB03570	C[N+](CO)(CO)CO
DB03571	NC1=NC2=NN(N=C2C(O)=N1)C1=CC(=CC=C1)C(=O)NCC1=CC(Cl)=CC(Cl)=C1
DB03572	[H][C@](CO)(CCC1=CC=CC2=C1C=CC=C2)N1C=NC(=C1)C(N)=O
DB03573	[H][C@](O)(CC(O)=O)C(=O)N[C@]([H])(CCC1=CC=CC=C1)C(=O)NCCC(C)C
DB03574	[Fe].[H][C@@]1(CCCN(O)C(C)=[OH+])NC(=O)CNC(=O)[C@@H](CO)NC(=O)CNC(=O)[C@]([H])(CCCN(O)C(C)=[OH+])NC(=O)[C@]([H])(CCCN(O)C(C)=[OH+])NC1=O
DB03576	CC(O)C(NCC1=C(COP(O)(O)=O)C=NC(C)=C1O)C(O)=O
DB03577	[H][C@](NCC1=CC=CC=C1)(C1=CC=CC=C1)P(O)(O)=O
DB03581	O[C@H](COP(O)(O)=O)[C@H](O)[C@H](O)[C@@H](O)C=O
DB03582	NCCC[C@H](NC(=O)CCC(O)=O)C(O)=O
DB03583	[H]N1C(=O)\C(C2=C1C=CC(=C2)S(=O)(=O)N1CCC(O)CC1)=C1/N([H])C2=CC=CC=C2[C@]1(C)O
DB03584	[H][C@@]1(O)O[C@]([H])(CO)[C@@]([H])(S)[C@]([H])(O)[C@@]1([H])O
DB03586	[H][C@]1(F)OC([O-])[C@H](O)[C@@H](O)[C@@H]1O
DB03587	CC(=O)C=O
DB03588	OC(=O)C(C1=CC=CC=C1)C1=CC=CC=C1
DB03589	OC(=O)C(=O)C(O)=O
DB03590	N[C@@H](CCC[C@H](N)C(O)=O)C(O)=O
DB03591	CC(=O)N[C@@H](CC1=CC=C(C=C1)C(F)(F)P(O)(O)=O)C(=O)N[C@H]1CCCCN(CC2=CC=C(C=C2)C2=CC=CC=C2)C1=O
DB03592	NC1=NC2=NC=C(COP(O)(O)=O)N=C2C(=O)N1
DB03593	C[N+]1=CN([C@@H]2O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]2O)C2=C1C(=O)NC(N)=N2
DB03594	N1C=NC=N1
DB03595	NC(=[NH2+])C1=CC=C2NC(=NC2=C1)C1=CC(OC(F)(F)F)=CC=C1[O-]
DB03596	[H][C@@](CC)(CNC(=O)C1=CC=C(C=C1)S(N)(=O)=O)C1=CC2=C(NC=C2)C=C1
DB03597	[H]N([H])[C@@H](CCC(=O)N([H])[C@@H](CSCC1=CC=CC=C1I)C(=O)N([H])CC(O)=O)C(O)=O
DB03598	COC1=CC=CC(=C1)N1C(CN2CCOCC2)=CC2=C(SC(=C2)S(N)(=O)=O)S1(=O)=O
DB03603	O[C@@H]([C@H](O)[C@@H](O)C(O)=O)[C@H](O)C(O)=O
DB03604	OC(=O)CC1=CC(I)=C(OC2=CC=C(O)C(I)=C2)C(I)=C1
DB03605	[H][C@@](CC1=CC=CC=C1)(N(CC1=CC(=CC=C1)C(F)(F)F)C(=O)C1=C(Cl)C=C(Cl)C=C1)C(O)=O
DB03606	[H][C@@]1(CNC(=O)C1)C1=CC=C(OC)C(OC2CCCC2)=C1
DB03607	CC(=O)N[C@@H](CC1=CC=C(Cl)C=C1)[B-](O)(O)OC[C@H](N)C(O)=O
DB03608	NC(=N)C1=CC=C(N\N=N\C2=CC=C(C=C2)C(N)=N)C=C1
DB03609	[H]N([H])C1=NC(=O)C2=C(N1[H])N(C=N2)[C@@H]1O[C@H](CO)C[C@H]1O
DB03611	[H]\C(OC)=C(/[H])[C@]([H])(N)C(O)=O
DB03612	CC(O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N
DB03613	[H]N([H])C1=C2N=CN([C@@H]3O[C@H](COP(O)(=O)OP(O)(=O)OCC(C)(C)[C@@H](O)C(=O)N([H])CCC(=O)N([H])CCSCC(=O)C4=CC=C(O)C=C4)[C@@H](OP(O)(O)=O)[C@H]3O)C2=NC=N1
DB03614	C1(CC[C@@]2([C@@H](CC(N)=O)[C@@]3([C@@]4([N+]5=C([C@H]([C@@]4(CC(N)=O)C)CCC(N)=O)C(C)=C4[N+]6=C(C=C7[N+]8=C([C@H](C7(C)C)CCC(N)=O)C(C)=C2N3[Co-3]568([N+]2=CN([C@H]3O[C@@H]([C@@H](OP(O[C@@H](CN1)C)([O-])=O)[C@H]3O)CO)C1=CC(C)=C(C=C21)C)C)[C@H]([C@@]4(CC(N)=O)C)CCC(N)=O)C)[H])C)=O
DB03616	[H]\C(=C(\[H])[C@@]([H])(C)[C@@]([H])(OC)[C@@]([H])(C)C(=O)CC[C@]([H])(C)[C@]([H])(C[C@]1([H])OC(=O)C[C@]([H])(C[C@]([H])(C)C[C@]([H])(O)[C@]([H])(C)[C@@]([H])(OC)C2=COC(=N2)C2=COC(=N2)C2=COC(=N2)\C([H])=C([H])\C[C@]([H])(OC)[C@@]1([H])C)O[C@]([H])(N)O)OC)N(C)CO
DB03619	[H][C@@]12CC[C@H]([C@H](C)CCC(O)=O)[C@@]1(C)[C@@H](O)C[C@@]1([H])[C@@]2([H])CC[C@]2([H])C[C@H](O)CC[C@]12C
DB03621	[H]\C(=C(\C)[C@@]1([H])OC(=O)[C@]2([H])CCCCN2C(=O)C(=O)[C@]2(O)O[C@@]([H])([C@]([H])(C[C@@]2([H])C)OC)[C@]([H])(C[C@@]([H])(C)[C@]([H])(O)\C(C)=C([H])\[C@@]([H])(CC)C(=O)C[C@]([H])(O)[C@@]1([H])C)OC)[C@]1([H])CC[C@@]([H])(OC2=CC=C3N(C)C=CC3=C2)[C@@]([H])(C1)OC
DB03622	OCCC1CCN(CC1)[C@@]1(C(=O)NC(O)=NC1=O)C1=CC=CC=C1
DB03623	OC1=CC=C(C=C1)C1=CC2=C(C=CC3=C2C=NC=C3)N=C1
DB03624	C[C@H](N)[C@@H](CCCCCC(O)=O)NC(O)=O
DB03626	COC1=CC(=O)C2=C(C(COC3=CC=CC=C3)=C(C)N2C)C1=O
DB03627	C1C2CC3CC1CC(C2)C3
DB03628	CCC1=CC=C(NC(=O)P(O)(O)=O)C=C1
DB03629	CC1=C(O)C(C=O)=C(COP(O)(O)=O)C=[N+]1[O-]
DB03631	[H]N=C1C=C(C[C@H](N)C(O)=O)C(=O)C=C1O
DB03632	CNC(=O)NC(=N)NCCC[C@@H]1NC(=O)[C@@H](C)NC(=O)C[C@H](NC(=O)C[C@H](NC(=O)[C@H](CC2=CC=CC=C2)N(C)C1=O)C(O)=O)C(O)=O
DB03633	CCCCCCCCCCCCCCCCCCOC[C@@H](O)CO[P@@](O)(=O)OCC[N+](C)(C)C
DB03635	CCS(O)(=O)=O
DB03636	NCC(N)=O
DB03637	[H]N([H])C(N([H])[H])=[N+]([H])CCCO
DB03639	NCCCCCCCNC(N)N
DB03640	N[C@@H]([C@@H](O)C(O)=O)C(O)=O
DB03641	[H]N(P(O)(O)=O)P(O)(=O)OC[C@H]1O[C@H](C[C@@H]1O)N1C=CC(=O)N([H])C1=O
DB03642	CC(C)C[C@H](NC(=O)C1=CC2=C(O1)C=CC=C2)C(=O)N[C@H]1CCCN(CC1=O)S(=O)(=O)C1=CC=CC=N1
DB03643	NC(=[NH2+])C1=CC=C2NC(=NC2=C1)C1=CC=CC=C1[O-]
DB03644	NC1=C(O)C=CC=C1C(O)=O
DB03645	ONC(=O)CP(O)(O)=O
DB03647	CC(C)N(C(=O)C1=CC=C(C)C=C1)C1=C(SC(=C1)C1=CC=CC=C1)C(O)=O
DB03648	[H]N([H])CCCC[C@H](N([H])C(=O)[C@@H](CCCC)CN([H])N([H])C[C@@H](CCCC)C(=O)N([H])[C@@H](CCCCN([H])[H])C(=O)N([H])C1=CC=CC=C1)C(=O)N([H])C1=CC=CC=C1
DB03649	OP(O)(=O)C(NC1=CC=C(Cl)C=N1)P(O)(O)=O
DB03650	OC1=CC=C(C=C1)\N=C1/C(=O)NC2=CC=CC=C12
DB03651	OC1=C(C=C(C=C1[N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O
DB03652	O[C@@H]1O[C@@H]([C@H](O)[C@H](O)[C@H]1O)C(O)=O
DB03654	[H][C@](N)(CSSCCC)C=O
DB03657	COC(=O)N[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
DB03658	[H]N([H])[C@@H](C(=O)N([H])[C@H](C=O)[C@@]1([H])SC(C)(C)[C@@H](N1[H])C(O)=O)C1=CC=C(O)C=C1
DB03659	CCCCN
DB03660	[H][C@](N)(CC1=CC=C(I)C=C1)C(O)=O
DB03661	N[C@@H](CS(O)(=O)=O)C(O)=O
DB03662	CCC[C@H](NCC1=C(O)C(C)=NC=C1COP(O)(O)=O)C(O)=O
DB03663	CC(C)C(=O)COC1=NC(N)=NC2=C1NC=N2
DB03664	[H]N([H])C1=C2N=CN([C@@H]3O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(=O)OP(O)(=O)OP(O)(=O)OC[C@H]4O[C@H]([C@H](O)[C@@H]4O)N4C=CC(=O)N([H])C4=O)[C@@H](O)[C@H]3O)C2=NC=N1
DB03666	CC1=CN([C@H]2C[C@H](N=[N+]=[N-])[C@@H](COP(O)(O)=O)O2)C(=O)NC1=O
DB03667	CC(=O)ONC(=O)C1=C(O)C=CC=C1
DB03668	O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(O)=O)N1C(=O)CC(=O)NC1=O
DB03669	OCCC1=CC=C(F)C=C1
DB03670	OC(=O)C(=O)NC1=C(C(O)=O)C2=C(CNCC2)S1
DB03672	C(NC1=C2C=CC=CC2=NC2=C1CCCC2)C1=CC=CC=C1
DB03673	N[C@@H](CC1=CC=CS1)C(O)=O
DB03676	[H][C@](N)(CS[As](C)(C)=O)C(O)=O
DB03677	CCCCCCCCCCNC(=O)NC1CCCCC1
DB03679	[H][C@](N)(CC1=C(O)NC2=CC=CC=C12)C(O)=O
DB03680	OC(C([O-])=O)C([O-])=O
DB03683	[H][C@@](CC(C)C)(CN(O)C=O)C(O)=O
DB03685	O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(O)=O)N1C=CC(=O)NC1=O
DB03686	N[C@@H](CCC(=O)N[C@@H](CSCC1=CC=C(C=C1)[N+]([O-])=O)C(=O)NCC(O)=O)C(O)=O
DB03687	C[C@](O)(CO)[C@H](O)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(N)=NC1=O
DB03688	OCCC(O)=O
DB03690	CCCCCCCC\C=C/CCCCCCCC(=O)OC[C@H](COP(=O)(O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/CCCCCCCC
DB03691	[H][C@](O)(CC(O)=O)C(=O)N[C@@]([H])(CCC1=CC=CC=C1)C(=O)NCCC(C)C
DB03692	[H][C@](N)(COS(=O)(=O)CCCCCCCCCCCCCCCC)C(O)=O
DB03693	NCCNS(=O)(=O)C1=CC=C(Cl)C2=C1C=NC=C2
DB03695	COC1=CC(CC2=C(C)C3=C(N=C2)N=C(N)N=C3N)=C(OC)C=C1
DB03696	[H][C@@]1(CC[C@@]2(C)C3=C(CC[C@]12C)[C@@]1(C)CC[C@H](O)C(C)(C)[C@]1([H])CC3)[C@H](C)CCC=C(C)C
DB03697	NCCCCNC(=O)C1=CC=C(C=C1)S(N)(=O)=O
DB03698	CCCCC[C@@H](C\C=C\C(=O)SCCNC(=O)CCN[C@H](O)C(=O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)[N+]1=CNC2=C(N)N=CN=C12)SCC=O
DB03699	CC(C)(COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CCC(O)=O
DB03700	C[C@@H](O)[C@@H](N)C(O)=O
DB03702	[H]N(CC(O)=O)C(=O)C1=CC=C(C=C1)C(=O)N([H])[C@@H](C(C)C)C(=O)N1CCC[C@H]1C(=O)N([H])[C@@H](C(C)C)C(=O)C(F)(F)F
DB03703	OC1CCCCC1
DB03704	OCCCCCCCCCCCC(O)=O
DB03705	CNC1=C(C(=O)NC(N)=N1)[N+]([O-])=O
DB03706	N[C@@H](CCC(=O)N[C@@H](CS[C@@H](CO)COC1=CC=C(C=C1)[N+]([O-])=O)C(=O)NCC(O)=O)C(O)=O
DB03707	CCS\C(N)=N\C1=CC=CC=C1
DB03708	NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(=O)OS(O)(=O)=O)[C@@H](O)[C@H]1O
DB03709	OCCN(CCO)CC(O)=O
DB03710	CCC\C(N)=N/CCC[C@H]([NH3+])C(O)=O
DB03711	CCC(=O)CCC(C)(C)O
DB03712	CC(=O)N[C@@H](CC1=CC(C(O)=O)=C(CC(O)=O)C=C1)C(=O)N[C@H]1CCCCN(CC2=CC=C(C=C2)C2=CC=CC=C2)C1=O
DB03714	[H][C@@](CCC(O)=O)(NC(=O)C1=CC2=C(C=C1)C=C(C=C2)C(F)(F)P(O)(O)=O)C(N)=O
DB03716	NC1=C2N=CN([C@@H]3O[C@H](CF)[C@@H](O)[C@H]3O)C2=NC=N1
DB03717	[H]N1CC[C@@H](O[C@@H]2OC[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)C1=O
DB03719	CCNC(=O)[C@@H]1O[C@H]([C@H](O)[C@H]1O)N1C=NC2=C1N=CN=C2N
DB03721	[H][C@]1(O[C@](O)(C[C@H](O)[C@H]1NC(C)=O)C(O)=O)[C@H](O)[C@H](O)CO
DB03722	CC1=CC=CC2=C1CCNC2=O
DB03723	C[C@@H]1O[C@H](OP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H](C[C@@H]2O)N2C=C(C)C(=O)NC2=O)[C@H](O)[C@H](O)[C@H]1O
DB03725	NC1=NC2=C(N=CN2[C@@H]2O[C@H](COP(O)(=O)OP(O)(=O)CP(O)(O)=O)[C@@H](O)[C@H]2O)C(=O)N1
DB03726	[H][C@]1(COP(O)(O)=O)O[C@@]([H])(N2C=NC3=CN=CN=C23)[C@]([H])(O)[C@]1([H])O
DB03727	CC1=C(CCC(O)=O)/C2=C/C3=N/C(=C\C4=C(C)C(CCC(O)=O)=C(N4)/C=C4\N=C(\C=C\1/N\2)C(CCC(O)=O)=C4C)/C(CCC(O)=O)=C3C
DB03728	OC(=O)C1=CC=C(Cl)C=C1
DB03729	NC1=NC2=C(N1)C=C(O)C=C2
DB03730	CN1C=NC2=C1[N+](C)=CN=C2N
DB03731	[H][C@](N)(CSCC[B-](O)(O)O)C(O)=O
DB03732	[H][C@@]1(O)O[C@]([H])(COP(O)(=O)OP(O)(=O)OC[C@@]2([H])O[C@@]([H])(N3C=NC4=C3N=CN3C=CN=C43)[C@]([H])(OP(O)(O)=O)[C@]2([H])O)[C@@]([H])(O)[C@@]1([H])O
DB03733	ClCCCl
DB03734	ONC(=O)[C@@H](O)[C@H](O)[C@@H](O)C([O-])=O
DB03735	[H][C@]1(O)C[C@@]([H])(O[C@]1([H])CO)N1C=NC2=C(C)N=CN=C12
